Nome do destino;Código do serviço;Valor;Prazo Final
Francisco Beltrão/PR;FMT;287.2;11
Sapiranga/RS;FMT;219.66;9
Rio do Sul/SC;FMT;93.64;12
Sorocaba/SP;FMT;159.98;5
Três Barras/SC;FMT;194.3;11
Itabela/BA;FMT;445.33;14
Jundiaí/SP;FMT;155.29;5
Bauru/SP;FMT;12.45;5
Curitiba/PR;FMT;43.56;7
Ribeirão do Pinhal/PR;FMT;119.57;11
Ituiutaba/MG;FMT;207.28;9
Sertãozinho/SP;FMT;51.68;5
Maringá/PR;FMT;184.11;7
São Sebastião/SP;FMT;84.84;6
São Vicente/SP;FMT;39.59;5
Concórdia/SC;FMT;59.83;10
Joinville/SC;FMT;65.44;9
São Paulo/SP;FMT;89.26;5
Atibaia/SP;FMT;113.19;5
Afonso Cláudio/ES;FMT;229.54;13
Cambará/PR;FMT;118.64;10
Cascavel/PR;FMT;120.43;8
Itapecerica/MG;FMT;24.57;10
Jaboti/PR;FMT;249.91;16
Araraquara/SP;FMT;112.71;5
São Paulo/SP;FMT;89.26;5
São Paulo/SP;FMT;14.74;5
Franco da Rocha/SP;FMT;99.64;5
Cianorte/PR;FMT;26.12;11
Itu/SP;FMT;115.02;6
Buri/SP;FMT;112.23;8
Mogi das Cruzes/SP;FMT;99.64;5
Cotia/SP;FMT;99.64;5
Botucatu/SP;FMT;54.49;5
São Vendelino/RS;FMT;75.92;12
Curitiba/PR;FMT;46.76;7
Lorena/SP;FMT;112.71;6
Morretes/PR;FMT;249.91;15
São Bernardo do Campo/SP;FMT;99.64;5
Suzano/SP;FMT;99.64;5
Itajaí/SC;FMT;197.63;8
Niterói/RJ;FMT;65.75;6
Tabatinga/SP;FMT;89.48;7
São Bernardo do Campo/SP;FMT;63.57;5
São Paulo/SP;FMT;24.37;5
São João da Boa Vista/SP;FMT;101.93;5
Palmitos/SC;FMT;134.93;9
Navegantes/SC;FMT;15.38;11
São Paulo/SP;FMT;17.96;5
Pindamonhangaba/SP;FMT;23.11;5
Bragança Paulista/SP;FMT;29.53;5
Brasília/DF;FMT;198.99;8
Santa Luzia/MG;FMT;51.82;9
Cabo Frio/RJ;FMT;169.16;8
Navegantes/SC;FMT;26.41;11
Itaquaquecetuba/SP;FMT;58.7;5
Mateus Leme/MG;FMT;170.16;10
São Paulo/SP;FMT;99.65;5
Paulínia/SP;FMT;28.57;5
Curitiba/PR;FMT;24.99;7
Mairiporã/SP;FMT;63.76;6
Vila Velha/ES;FMT;21.55;7
Seberi/RS;FMT;225.87;14
Rio de Janeiro/RJ;FMT;98.85;6
Lauro Müller/SC;FMT;79.92;9
Palotina/PR;FMT;170.16;10
São José/SC;FMT;79.87;10
Americana/SP;FMT;58.7;5
Lagoa Formosa/MG;FMT;132.37;13
São José/SC;FMT;132.66;10
Salvador/BA;FMT;99.4;8
Centralina/MG;FMT;37.02;14
Betim/MG;FMT;24.25;7
Nova Iguaçu/RJ;FMT;36.9;8
Espumoso/RS;FMT;181.03;14
São Paulo/SP;FMT;50.9;5
Ijuí/RS;FMT;79.82;11
Moreira Sales/PR;FMT;132.59;15
Balneário Camboriú/SC;FMT;79.92;8
São Paulo/SP;FMT;50.9;5
Campo Novo do Parecis/MT;FMT;871.34;15
Franca/SP;FMT;71.75;5
Itapevi/SP;FMT;23.11;5
Juiz de Fora/MG;FMT;73.9;7
São Paulo/SP;FMT;17.7;5
Porto Alegre/RS;FMT;69.46;8
Palmital/PR;FMT;37.02;16
Itaúna/MG;FMT;65.4;9
Volta Redonda/RJ;FMT;65.36;7
Araras/SP;FMT;70.15;5
Penedo/AL;FMT;405.38;14
Lacerdópolis/SC;FMT;39.25;13
Áurea/RS;FMT;264.45;16
Belo Horizonte/MG;FMT;93.64;7
Cruzeiro/SP;FMT;33.84;8
Piedade do Rio Grande/MG;FMT;182.91;14
São Paulo/SP;FMT;50.85;5
Itu/SP;FMT;33.84;6
Monteiro Lobato/SP;FMT;40.23;8
Alvorada/RS;FMT;79.67;8
São Paulo/SP;FMT;50.9;5
Osasco/SP;FMT;58.7;5
São Bernardo do Campo/SP;FMT;30.27;5
Novo Horizonte/SP;FMT;71.8;8
Sabará/MG;FMT;75.52;9
Tupã/SP;FMT;22.79;6
São Paulo/SP;FMT;50.9;5
Sorocaba/SP;FMT;40.76;5
