Nome do destino,Código do serviço,Valor,Prazo Final
Barretos/SP,LGG,23.61,4
Barretos/SP,LGG,22.29,6
Praia Grande/SP,LGG,13.21,2
Praia Grande/SP,LGG,12.3,3
Praia Grande/SP,LGG,22.1,2
Praia Grande/SP,LGG,16.62,4
São Paulo/SP,LGG,8.81,2
São Paulo/SP,LGG,9.19,3
São Paulo/SP,LGG,13.55,2
São Paulo/SP,LGG,12.03,4
São Paulo/SP,LGG,12.97,2
São Paulo/SP,LGG,10.54,3
São Paulo/SP,LGG,18.58,2
São Paulo/SP,LGG,15.47,4
Sabará/MG,LGG,24.97,3
Sabará/MG,LGG,20.04,4
Sabará/MG,LGG,31.84,3
Sabará/MG,LGG,27.29,4
Rio de Janeiro/RJ,LGG,13.6,3
Rio de Janeiro/RJ,LGG,12.04,4
Rio de Janeiro/RJ,LGG,23.84,3
Rio de Janeiro/RJ,LGG,15.06,2
Limeira/SP,LGG,13.96,3
Limeira/SP,LGG,11.18,4
Limeira/SP,LGG,20.73,3
Limeira/SP,LGG,16.24,5
Miguel Pereira/RJ,LGG,15.88,5
Miguel Pereira/RJ,LGG,13.48,7
Miguel Pereira/RJ,LGG,23.84,5
Miguel Pereira/RJ,LGG,18.89,5
Campinas/SP,LGG,10.69,2
Campinas/SP,LGG,7.66,3
Campinas/SP,LGG,12.84,2
Campinas/SP,LGG,13.9,4
Maceió/AL,LGG,23.57,6
Maceió/AL,LGG,16.16,7
Maceió/AL,LGG,23.95,6
Maceió/AL,LGG,25.56,8
São Paulo/SP,LGG,9.19,2
São Paulo/SP,LGG,9.24,3
São Paulo/SP,LGG,14.06,2
São Paulo/SP,LGG,12.33,4
Campinas/SP,LGG,12.2,2
Campinas/SP,LGG,10.05,3
Campinas/SP,LGG,17.82,2
Campinas/SP,LGG,15.45,4
Americana/SP,LGG,11.29,3
Americana/SP,LGG,7.68,4
Americana/SP,LGG,17.44,3
Americana/SP,LGG,14.72,5
Barueri/SP,LGG,11.77,3
Barueri/SP,LGG,8.73,4
Barueri/SP,LGG,13.71,3
Barueri/SP,LGG,15.1,5
São José/SC,LGG,11.99,3
São José/SC,LGG,8.18,4
São José/SC,LGG,14.91,3
São José/SC,LGG,14.46,5
São Paulo/SP,LGG,6.87,2
São Paulo/SP,LGG,6.68,3
São Paulo/SP,LGG,10.47,2
São Paulo/SP,LGG,10.05,4
Sapucaí-Mirim/MG,LGG,13.22,7
Sapucaí-Mirim/MG,LGG,10.35,8
Sapucaí-Mirim/MG,LGG,18.67,7
Sapucaí-Mirim/MG,LGG,16.72,9
Taboão da Serra/SP,LGG,11.06,2
Taboão da Serra/SP,LGG,10.05,3
Taboão da Serra/SP,LGG,14.32,2
Taboão da Serra/SP,LGG,14.37,4
Campinas/SP,LGG,12.12,2
Campinas/SP,LGG,9.08,3
Campinas/SP,LGG,17.7,2
Campinas/SP,LGG,15.38,4
Mogi Mirim/SP,LGG,10.69,3
Mogi Mirim/SP,LGG,8.97,4
Mogi Mirim/SP,LGG,15.34,3
Mogi Mirim/SP,LGG,13.9,5
Artur Nogueira/SP,LGG,12.23,5
Artur Nogueira/SP,LGG,9.1,4
Artur Nogueira/SP,LGG,19.09,3
Artur Nogueira/SP,LGG,15.46,7
Rio de Janeiro/RJ,LGG,12.96,3
Rio de Janeiro/RJ,LGG,10.5,4
Rio de Janeiro/RJ,LGG,16.19,3
Rio de Janeiro/RJ,LGG,14.52,2
Santa Rosa de Viterbo/SP,LGG,10.17,3
Santa Rosa de Viterbo/SP,LGG,8.2,4
Santa Rosa de Viterbo/SP,LGG,14.65,3
Santa Rosa de Viterbo/SP,LGG,13.84,5
São Paulo/SP,LGG,9.84,2
São Paulo/SP,LGG,6.82,3
São Paulo/SP,LGG,15.02,2
São Paulo/SP,LGG,12.63,4
Patos de Minas/MG,LGG,16.38,4
Patos de Minas/MG,LGG,13.21,5
Patos de Minas/MG,LGG,24.12,4
Patos de Minas/MG,LGG,19.67,6
Trindade/GO,LGG,57.68,4
Trindade/GO,LGG,18.34,5
Trindade/GO,LGG,24.35,4
São Paulo/SP,LGG,11.99,2
São Paulo/SP,LGG,8.22,3
São Paulo/SP,LGG,17.25,2
São Paulo/SP,LGG,14.68,4
Carapicuíba/SP,LGG,15.2,3
Carapicuíba/SP,LGG,10.07,4
Carapicuíba/SP,LGG,21.39,3
Carapicuíba/SP,LGG,17.5,5
Rio de Janeiro/RJ,LGG,15.84,3
Rio de Janeiro/RJ,LGG,10.51,4
Rio de Janeiro/RJ,LGG,23.04,3
Rio de Janeiro/RJ,LGG,17.39,2
Piracaia/SP,LGG,14.91,5
Piracaia/SP,LGG,10.07,6
Piracaia/SP,LGG,23.88,5
Piracaia/SP,LGG,18.28,7
Goiânia/GO,LGG,18.79,4
Goiânia/GO,LGG,12.51,5
Goiânia/GO,LGG,21.78,4
Goiânia/GO,LGG,16.8,6
Itu/SP,LGG,14.91,4
Itu/SP,LGG,10.07,5
Itu/SP,LGG,22.91,4
Itu/SP,LGG,18.28,5
Araxá/MG,LGG,16.58,4
Araxá/MG,LGG,10.67,5
Araxá/MG,LGG,19.29,4
Araxá/MG,LGG,20.8,6
Vitória/ES,LGG,18.41,3
Vitória/ES,LGG,13.11,5
Vitória/ES,LGG,27.18,4
Vitória/ES,LGG,20.39,5
São Paulo/SP,LGG,12.1,2
São Paulo/SP,LGG,8.23,3
São Paulo/SP,LGG,17.41,2
