Nome do destino;Código do serviço;Valor;Prazo Final
São Paulo/SP;ROD;8.62;3
São Paulo/SP;EXP;11363.63;999
São Paulo/SP;EXP;12913.21;999
São Paulo/SP;DAY;23.43;1
São Paulo/SP;NEX;11.9;3
São Paulo/SP;JET;10.26;3
São Paulo/SP;AZC;16.97;3
São Paulo/SP;ITL;10.53;4
São Paulo/SP;PMC;9.68;4
São Paulo/SP;S2C;17.93;3
São Paulo/SP;DLO;11.87;2
Aguaí/SP;MDLOGG;18.95;11
Aguaí/SP;GFL;9.66;3
Aguaí/SP;GFL;11.15;2
Aguaí/SP;LGG;13.45;6
Aguaí/SP;LGG;9.12;7
Aguaí/SP;LGG;19.42;6
Aguaí/SP;LGG;16.89;8
Aguaí/SP;GFL;11.15;2
Aguaí/SP;BPS;14.49;9
Aguaí/SP;EXP;11363.63;999
Aguaí/SP;EXP;12913.21;999
Aguaí/SP;JET;11.26;7
Aguaí/SP;ITL;14.1;5
Aguaí/SP;PMC;17.37;8
Aguaí/SP;S2C;16.69;3
Aguaí/SP;DLO;13.19;6
São Paulo/SP;MDLOGG;8.05;5
São Paulo/SP;GFL;9;3
São Paulo/SP;GFL;9.41;2
São Paulo/SP;LGG;8.12;2
São Paulo/SP;LGG;10.18;3
São Paulo/SP;LGG;12.7;2
São Paulo/SP;LGG;11.27;4
São Paulo/SP;DBA;8.59;1
São Paulo/SP;GFL;9.41;2
São Paulo/SP;BPS;13.65;10
São Paulo/SP;ROD;8.9;3
São Paulo/SP;EXP;11363.63;999
São Paulo/SP;EXP;12913.21;999
São Paulo/SP;DAY;22.92;1
São Paulo/SP;NEX;8.04;3
São Paulo/SP;JET;9.3;3
São Paulo/SP;AZC;15.53;3
São Paulo/SP;ITL;10.56;4
São Paulo/SP;PMC;13.24;4
São Paulo/SP;S2C;9.56;3
São Paulo/SP;DLO;8.28;2
Botucatu/SP;MDLOGG;19.95;9
Botucatu/SP;GFL;12.02;3
Botucatu/SP;GFL;18.99;2
Botucatu/SP;LGG;24.19;3
Botucatu/SP;LGG;17.06;4
Botucatu/SP;LGG;33.79;3
Botucatu/SP;LGG;25.01;5
Botucatu/SP;GFL;14.99;2
Botucatu/SP;BPS;19.04;8
Botucatu/SP;ROD;17.5;5
Botucatu/SP;EXP;11363.63;999
Botucatu/SP;EXP;12913.21;999
Botucatu/SP;NEX;21.54;6
Botucatu/SP;JET;16.98;6
Botucatu/SP;AZC;25.17;3
Botucatu/SP;ITL;18.88;5
Botucatu/SP;PMC;29.18;5
Botucatu/SP;S2C;22.06;3
Botucatu/SP;DLO;17.2;5
Diadema/SP;MDLOGG;16.32;3
Diadema/SP;LGG;50.64;4
Diadema/SP;LGG;41.44;12
Diadema/SP;BPS;14.69;10
Diadema/SP;ROD;9.9;3
Diadema/SP;EXP;11363.63;999
Diadema/SP;EXP;12913.21;999
Diadema/SP;NEX;13.87;3
Diadema/SP;JET;11.87;3
Diadema/SP;AZC;18.19;4
Diadema/SP;ITL;11.93;4
Diadema/SP;PMC;61.36;6
Diadema/SP;DLO;12.96;2
Curitiba/PR;MDLOGG;18.74;3
Curitiba/PR;GFL;11.15;2
Curitiba/PR;GFL;12.52;4
Curitiba/PR;LGG;18.7;3
Curitiba/PR;LGG;11.35;4
Curitiba/PR;LGG;23.24;1
Curitiba/PR;LGG;23.6;5
Curitiba/PR;GFL;12.52;4
Curitiba/PR;BPS;15.29;6
Curitiba/PR;BAU;37.72;1
Curitiba/PR;ROD;14.56;4
Curitiba/PR;EXP;11363.63;999
Curitiba/PR;EXP;12913.21;999
Curitiba/PR;DAY;18.09;1
Curitiba/PR;NEX;9.3;2
Curitiba/PR;JET;11.56;3
Curitiba/PR;AZC;22.91;3
Curitiba/PR;RSU;10.24;4
Curitiba/PR;PMC;20.16;5
Curitiba/PR;S2C;18.05;5
Curitiba/PR;DLO;15.76;3
Diadema/SP;MDLOGG;14.43;3
Diadema/SP;LGG;40.73;4
Diadema/SP;LGG;32.56;12
Diadema/SP;BPS;14.14;10
Diadema/SP;ROD;8.66;3
Diadema/SP;EXP;11363.63;999
Diadema/SP;EXP;12913.21;999
Diadema/SP;NEX;11.92;4
Diadema/SP;JET;9.89;4
Diadema/SP;AZC;16.44;4
Diadema/SP;ITL;10.57;4
Diadema/SP;PMC;43.92;6
Diadema/SP;DLO;11.94;3
Franca/SP;MDLOGG;12.4;9
Franca/SP;GFL;9.03;3
Franca/SP;GFL;9.81;2
Franca/SP;LGG;10.64;3
Franca/SP;LGG;8.26;4
Franca/SP;LGG;14.19;3
Franca/SP;LGG;13.85;5
Franca/SP;GFL;9.81;2
Franca/SP;BPS;13.61;8
Franca/SP;ROD;9.17;5
Franca/SP;EXP;11363.63;999
Franca/SP;EXP;12913.21;999
Franca/SP;NEX;12.22;5
Franca/SP;JET;10.08;5
Franca/SP;AZC;16.44;4
Franca/SP;ITL;13.47;5
Franca/SP;PMC;12.77;5
Franca/SP;S2C;16.12;3
Franca/SP;DLO;12.07;4
Sorocaba/SP;MDLOGG;16.32;3
Sorocaba/SP;GFL;10.48;3
Sorocaba/SP;GFL;11.55;4
Sorocaba/SP;LGG;14.37;2
Sorocaba/SP;LGG;11.22;3
Sorocaba/SP;LGG;20.11;2
Sorocaba/SP;LGG;16.56;4
Sorocaba/SP;GFL;11.55;4
Sorocaba/SP;BPS;14.14;8
Sorocaba/SP;ROD;9.94;4
Sorocaba/SP;EXP;11363.63;999
Sorocaba/SP;EXP;12913.21;999
Sorocaba/SP;NEX;13.87;4
Sorocaba/SP;JET;11.63;4
Sorocaba/SP;AZC;18.19;3
Sorocaba/SP;ITL;14.37;5
Sorocaba/SP;PMC;17.71;4
Sorocaba/SP;S2C;14.64;6
Sorocaba/SP;DLO;12.96;3
Juiz de Fora/MG;MDLOGG;20.76;8
Juiz de Fora/MG;GFL;11.03;6
Juiz de Fora/MG;GFL;12.53;6
Juiz de Fora/MG;LGG;19.95;4
Juiz de Fora/MG;LGG;14.4;5
Juiz de Fora/MG;LGG;23.51;4
Juiz de Fora/MG;LGG;23.62;4
Juiz de Fora/MG;GFL;12.53;6
Juiz de Fora/MG;BPS;13.07;8
Juiz de Fora/MG;ROD;11.97;6
Juiz de Fora/MG;EXP;11363.63;999
Juiz de Fora/MG;EXP;12913.21;999
Juiz de Fora/MG;NEX;16.43;6
Juiz de Fora/MG;JET;11.71;6
Juiz de Fora/MG;AZC;18.49;3
Juiz de Fora/MG;ITL;13.2;7
Juiz de Fora/MG;PMC;26.25;6
Juiz de Fora/MG;S2C;19.17;7
Juiz de Fora/MG;DLO;14.93;5
São José dos Campos/SP;MDLOGG;16.32;2
São José dos Campos/SP;GFL;11.03;3
São José dos Campos/SP;GFL;12.26;2
São José dos Campos/SP;LGG;12.54;2
São José dos Campos/SP;LGG;11.22;3
São José dos Campos/SP;LGG;20.11;2
São José dos Campos/SP;LGG;15.2;4
São José dos Campos/SP;DBA;10.92;2
São José dos Campos/SP;GFL;12.26;2
São José dos Campos/SP;BPS;14.14;8
São José dos Campos/SP;ROD;9.94;4
São José dos Campos/SP;EXP;11363.63;999
São José dos Campos/SP;EXP;12913.21;999
São José dos Campos/SP;NEX;13.87;5
São José dos Campos/SP;JET;11.63;5
São José dos Campos/SP;AZC;18.19;4
São José dos Campos/SP;ITL;14.37;5
São José dos Campos/SP;PMC;15.72;4
São José dos Campos/SP;S2C;14.64;6
São José dos Campos/SP;DLO;12.96;4
Curitiba/PR;MDLOGG;16.83;3
Curitiba/PR;GFL;10.51;2
Curitiba/PR;GFL;11.33;4
Curitiba/PR;LGG;14.35;3
Curitiba/PR;LGG;9.44;4
Curitiba/PR;LGG;16.13;1
Curitiba/PR;LGG;16.01;5
Curitiba/PR;GFL;11.33;4
Curitiba/PR;BPS;13.71;6
Curitiba/PR;BAU;37.54;1
Curitiba/PR;ROD;11.4;4
Curitiba/PR;EXP;11363.63;999
Curitiba/PR;EXP;12913.21;999
Curitiba/PR;DAY;17.45;1
Curitiba/PR;NEX;8.67;2
Curitiba/PR;JET;10.07;3
Curitiba/PR;AZC;18.19;3
Curitiba/PR;RSU;9.81;4
Curitiba/PR;PMC;15.5;5
Curitiba/PR;S2C;16.74;5
Curitiba/PR;DLO;14.44;3
São Joaquim da Barra/SP;MDLOGG;14.18;10
São Joaquim da Barra/SP;GFL;10.48;4
São Joaquim da Barra/SP;GFL;12.26;3
São Joaquim da Barra/SP;LGG;14.43;4
São Joaquim da Barra/SP;LGG;11.5;4
São Joaquim da Barra/SP;LGG;21.94;3
São Joaquim da Barra/SP;LGG;17.15;6
São Joaquim da Barra/SP;GFL;12.26;3
São Joaquim da Barra/SP;BPS;14.69;9
São Joaquim da Barra/SP;ROD;11.07;6
São Joaquim da Barra/SP;EXP;11363.63;999
São Joaquim da Barra/SP;EXP;12913.21;999
São Joaquim da Barra/SP;NEX;20.92;5
São Joaquim da Barra/SP;JET;11.64;5
São Joaquim da Barra/SP;AZC;18.19;4
São Joaquim da Barra/SP;PMC;17.72;6
São Joaquim da Barra/SP;S2C;18.75;4
São Joaquim da Barra/SP;DLO;13.44;4
São Paulo/SP;MDLOGG;9.19;3
São Paulo/SP;GFL;9.88;3
São Paulo/SP;GFL;10.62;2
São Paulo/SP;LGG;11.07;2
São Paulo/SP;LGG;10.52;3
São Paulo/SP;LGG;16.68;2
São Paulo/SP;LGG;13.6;4
São Paulo/SP;DBA;8.94;1
São Paulo/SP;GFL;10.62;2
São Paulo/SP;BPS;14.12;10
São Paulo/SP;ROD;9.43;3
São Paulo/SP;EXP;11363.63;999
São Paulo/SP;EXP;12913.21;999
São Paulo/SP;DAY;23.85;1
São Paulo/SP;NEX;8.75;3
São Paulo/SP;JET;11.6;3
São Paulo/SP;AZC;18.19;3
São Paulo/SP;ITL;11.35;4
São Paulo/SP;PMC;14.17;4
São Paulo/SP;S2C;10.09;2
São Paulo/SP;DLO;9.21;2
Umuarama/PR;GFL;49.53;7
Umuarama/PR;LGG;59.75;3
Umuarama/PR;BPS;39.21;8
Umuarama/PR;EXP;11363.63;999
Umuarama/PR;JET;38.85;6
Umuarama/PR;AZC;83.75;5
Umuarama/PR;PMC;158.44;6
Umuarama/PR;S2C;72.39;8
Indaiatuba/SP;MDLOGG;12.62;8
Indaiatuba/SP;GFL;9.43;3
Indaiatuba/SP;GFL;10.79;2
Indaiatuba/SP;LGG;11.22;3
Indaiatuba/SP;LGG;9.04;4
Indaiatuba/SP;LGG;13.55;3
Indaiatuba/SP;LGG;14.32;5
Indaiatuba/SP;GFL;10.79;2
Indaiatuba/SP;BPS;14.23;8
Indaiatuba/SP;ROD;9.27;4
Indaiatuba/SP;EXP;11363.63;999
Indaiatuba/SP;EXP;12913.21;999
Indaiatuba/SP;NEX;12.37;5
Indaiatuba/SP;JET;10.54;5
Indaiatuba/SP;AZC;16.97;3
Indaiatuba/SP;ITL;13.75;5
Indaiatuba/SP;PMC;12.96;5
Indaiatuba/SP;S2C;13.23;6
Indaiatuba/SP;DLO;12.26;4
Santana de Parnaíba/SP;MDLOGG;16.32;3
Santana de Parnaíba/SP;GFL;10.15;3
Santana de Parnaíba/SP;GFL;10.65;2
Santana de Parnaíba/SP;LGG;14.37;3
Santana de Parnaíba/SP;LGG;11.21;4
Santana de Parnaíba/SP;LGG;17.47;3
Santana de Parnaíba/SP;LGG;16.56;5
Santana de Parnaíba/SP;GFL;10.65;2
Santana de Parnaíba/SP;BPS;14.69;10
Santana de Parnaíba/SP;ROD;9.9;4
Santana de Parnaíba/SP;EXP;11363.63;999
Santana de Parnaíba/SP;EXP;12913.21;999
Santana de Parnaíba/SP;NEX;16.78;4
Santana de Parnaíba/SP;JET;12.37;4
Santana de Parnaíba/SP;AZC;42.66;3
Santana de Parnaíba/SP;ITL;11.93;4
Santana de Parnaíba/SP;PMC;17.71;5
Santana de Parnaíba/SP;S2C;11;2
Santana de Parnaíba/SP;DLO;13.2;3
Ubatuba/SP;MDLOGG;20.17;4
Ubatuba/SP;GFL;11.48;3
Ubatuba/SP;GFL;16.11;3
Ubatuba/SP;LGG;24.71;3
Ubatuba/SP;LGG;14.94;4
Ubatuba/SP;LGG;30.5;3
Ubatuba/SP;LGG;27.01;5
Ubatuba/SP;GFL;14.11;3
Ubatuba/SP;BPS;18.46;8
Ubatuba/SP;ROD;14.43;5
Ubatuba/SP;EXP;11363.63;999
Ubatuba/SP;EXP;12913.21;999
Ubatuba/SP;NEX;23.9;6
Ubatuba/SP;JET;13.4;6
Ubatuba/SP;AZC;50.69;4
Ubatuba/SP;PMC;30.29;5
Ubatuba/SP;S2C;20.98;4
Ubatuba/SP;DLO;15.31;5
Piracicaba/SP;MDLOGG;17.54;2
Piracicaba/SP;GFL;11.86;3
Piracicaba/SP;GFL;14.57;2
Piracicaba/SP;LGG;19.87;2
Piracicaba/SP;LGG;13.35;3
Piracicaba/SP;LGG;25.61;2
Piracicaba/SP;LGG;22.76;4
Piracicaba/SP;DBA;12.17;3
Piracicaba/SP;GFL;12.57;2
Piracicaba/SP;BPS;16.35;8
Piracicaba/SP;ROD;12.92;4
Piracicaba/SP;EXP;11363.63;999
Piracicaba/SP;EXP;12913.21;999
Piracicaba/SP;NEX;16.45;5
Piracicaba/SP;JET;13.69;5
Piracicaba/SP;AZC;22.6;4
Piracicaba/SP;ITL;15.44;5
Piracicaba/SP;PMC;28.43;4
Piracicaba/SP;S2C;15.94;6
Piracicaba/SP;DLO;14.45;4
Araçatuba/SP;MDLOGG;16.32;3
Araçatuba/SP;GFL;10.48;3
Araçatuba/SP;GFL;11.55;2
Araçatuba/SP;LGG;17.79;3
Araçatuba/SP;LGG;11.22;4
Araçatuba/SP;LGG;21.27;3
Araçatuba/SP;LGG;20.81;5
Araçatuba/SP;GFL;11.55;2
Araçatuba/SP;BPS;14.14;8
Araçatuba/SP;ROD;10.53;5
Araçatuba/SP;EXP;11363.63;999
Araçatuba/SP;EXP;12913.21;999
Araçatuba/SP;NEX;13.87;5
Araçatuba/SP;JET;11.87;5
Araçatuba/SP;AZC;18.19;4
Araçatuba/SP;PMC;21.9;5
Araçatuba/SP;S2C;17.17;3
Araçatuba/SP;DLO;12.96;4
Lages/SC;MDLOGG;25.69;6
Lages/SC;LGG;19.76;4
Lages/SC;LGG;11.08;5
Lages/SC;LGG;18.4;4
Lages/SC;LGG;20.13;6
Lages/SC;GFL;12.42;6
Lages/SC;BPS;14.83;8
Lages/SC;EXP;11363.63;999
Lages/SC;EXP;14515.88;999
Lages/SC;NEX;9.88;2
Lages/SC;JET;11.61;3
Lages/SC;AZC;45.19;7
