Código do Pedido;Cidade do destino;UF do destino;Código do serviço;Valor;Prazo Final
0012406759023;Recife;PE;JET;14.79;7
0012406153405;Cesário Lange;SP;JET;11.07;6
0012406465921;Garanhuns;PE;JET;19.29;11
0012406784328;Niterói;RJ;JET;11.34;5
0012406382219;Cachoeirinha;RS;JET;12.44;4
0012406960839;Cafelândia;SP;JET;11.47;7
0012406467145;São Paulo;SP;JET;9.92;3
0012406517236;Praia Grande;SP;JET;10.18;5
0012406216218;São Leopoldo;RS;JET;11.75;4
0012406187517;São José dos Pinhais;PR;GFL;10.28;5
0012406116493;Serra;ES;JET;9.43;7
0012406122483;Cabo Frio;RJ;JET;10.88;6
0012406762680;Itapeva;SP;JET;10.89;5
0042406066661;São José dos Campos;SP;JET;9.95;5
0012406001508;Rosário do Ivaí;PR;RSU;10.23;5
0012406088344;Petrolina;PE;JET;16.33;11
0012406875788;Junqueirópolis;SP;GFL;11.01;2
0012406938255;Corinto;MG;JET;13.42;7
0012406967799;Governador Valadares;MG;JET;11.36;6
0012406904321;Louveira;SP;GFL;10.57;2
0012406597131;Jacupiranga;SP;S2C;10.86;7
0012406993024;Franco da Rocha;SP;JET;11.33;4
0012406805522;Ribeira do Pombal;BA;JET;15.18;9
0012406982424;São Francisco do Oeste;RN;JET;16.44;17
0012406780436;Barueri;SP;JET;10.18;4
0012406444601;Peruíbe;SP;S2C;14.61;5
0012406703479;Salvador;BA;JET;13.24;7
0012406624543;João Pessoa;PB;JET;15.01;9
0012406157462;São Lourenço da Mata;PE;JET;18.67;10
0012406643442;Uauá;BA;JET;15.18;11
0042406069970;Belo Horizonte;MG;JET;10.81;5
0012406963229;Cubatão;SP;S2C;14.41;5
0012406017953;São Paulo;SP;GFL;11.28;2
0012406597709;Santana de Parnaíba;SP;S2C;9.89;2
0012406059265;Rio de Janeiro;RJ;JET;13.17;5
0012406223399;Caxias do Sul;RS;JET;10.67;4
0012406203069;Toledo;PR;JET;13.74;7
0012406754930;Vinhedo;SP;GFL;10.33;2
0012406894372;Serra Negra;SP;JET;10.89;6
0012406236683;São Paulo;SP;S2C;9.89;2
0012406569149;São Paulo;SP;JET;9.92;3
0012406662231;Assis;SP;JET;10.83;6
0012406032850;Santa Maria da Vitória;BA;JET;15.18;10
0012406062921;Brasília;DF;JET;12.01;6
0012406438654;São Paulo;SP;GFL;11.5;2
0012406075727;Salvador;BA;JET;12.61;7
0012406990817;Recife;PE;JET;14.9;8
0012406203247;Eunápolis;BA;JET;15.11;10
0012406815620;Itapevi;SP;GFL;10.5;2
0012406453475;Rio de Janeiro;RJ;JET;15.33;4
0012406346827;Morro Cabeça no Tempo;PI;JET;16.68;22
0012406465661;Vargem Alta;ES;JET;11.23;9
0012406207773;Aparecida de Goiânia;GO;JET;11.59;6
0012406548338;São José dos Pinhais;PR;GFL;9.66;5
0012406606342;Fortaleza;CE;JET;14.54;9
0012406418382;Arcoverde;PE;JET;17.08;11
0012406081170;São Paulo;SP;S2C;10.06;2
0012406074856;São Paulo;SP;JET;9.38;3
0012406665891;São Paulo;SP;S2C;10.06;3
0012406003920;Nova Iguaçu;RJ;JET;11.92;7
0012406155614;São Paulo;SP;S2C;10.02;2
0012406832342;Porto Alegre;RS;JET;11.25;3
0012406365530;Criciúma;SC;RSU;10.71;5
0012406505210;Belo Horizonte;MG;GFL;10.01;3
0012406346041;Rio de Janeiro;RJ;JET;10.28;5
0012406982085;Itajubá;MG;GFL;12.18;8
0012406981451;Curitiba;PR;RSU;9.9;4
0012406651290;Rio de Janeiro;RJ;JET;11.51;4
0012406879254;Feira de Santana;BA;JET;14.65;7
0012406467313;Rio de Janeiro;RJ;JET;10.28;4
0012406016293;São Paulo;SP;S2C;10.06;3
0012406435432;Vitória;ES;JET;10.4;6
0012406008973;Campos dos Goytacazes;RJ;JET;11.06;6
0012406953508;São Paulo;SP;S2C;10.06;2
0012406388932;Pelotas;RS;JET;12.86;4
0012406495300;Agrolândia;SC;RSU;10.75;4
0012406863340;Vargem;SP;GFL;11.13;4
0012406714593;Nova Iguaçu;RJ;JET;10.85;7
0012406594047;São Pedro;SP;JET;10.71;6
0012406348917;São Paulo;SP;S2C;10.06;2
0012406614885;São Bernardo do Campo;SP;JET;9.64;4
0012406590277;Rio de Janeiro;RJ;JET;11.51;4
0012406745487;Petrópolis;RJ;JET;10.28;6
0012406099694;Catalão;GO;GFL;13.83;7
0012406449620;Matinhos;PR;RSU;10.43;5
0012406533183;Lapa;PR;RSU;10.43;5
0012406554623;Rio de Janeiro;RJ;JET;11.05;5
0012406956381;Braço do Norte;SC;RSU;10.75;5
0012406785096;Nova Iguaçu;RJ;JET;12.08;6
0012406700412;Rio de Janeiro;RJ;JET;11.51;4
0012406088137;Jundiaí;SP;JET;9.79;5
0012406737578;Rio de Janeiro;RJ;JET;9.16;4
0012406081949;Cuiabá;MT;JET;14.38;8
0012406652351;Indaiatuba;SP;JET;9.43;5
0012406049350;Piraúba;MG;JET;12.91;8
0012406497287;Ladário;MS;JET;17.91;13
